unlocode,name,municipality,iso_country,lat,lon
FRAO7,Chardonnay,Chardonnay,FR,46.5,4.86667
FRAQS,Asnières-sur-Seine,Asnières-sur-Seine,FR,48.91667,2.28333
FRAQX,Redessan,Redessan,FR,43.83333,4.5
FRARC,Arcachon,Arcachon,FR,44.65,-1.18333
FRARD,Ardres,Ardres,FR,50.85,1.98333
FRARJ,Puyricard,Puyricard,FR,43.5826783,5.4206091
FRARR,Arras,Arras,FR,50.28333,2.78333
FRAUD,Audierne,Audierne,FR,48.01667,-4.56667
FRAUF,Auxerre,Auxerre,FR,47.8,3.56667
FRAVN,Avignon,Avignon,FR,43.95,4.8
FRAWS,Aiserey,Aiserey,FR,47.16667,5.16667
FRAXY,Argancy,Argancy,FR,49.2,6.2
FRAYT,Aytré,Aytré,FR,46.13333,-1.1
FRAYW,Ay,Ay,FR,49.05,4
FRB6P,Beaumont-de-Pertuis,Beaumont-de-Pertuis,FR,43.73333,5.7
FRBAI,Indre,Indre,FR,47.2,-1.66667
FRBAS,Bassens,Bassens,FR,44.9,-0.51667
FRBAU,Boucau,Boucau,FR,43.51667,-1.48333
FRBAV,Bavilliers,Bavilliers,FR,47.61667,6.83333
FRBAY,Bayonne,Bayonne,FR,43.5,-1.48333
FRBBB,Val d'Oust,Val d'Oust,FR,47.85,-2.45
FRBCA,Beaucaire,Beaucaire,FR,43.8,4.63333
FRBCJ,Le Barcarès,Le Barcarès,FR,42.78333,3.03333
FRBCQ,Boissettes,Boissettes,FR,48.51667,2.61667
FRBDD,Bidart,Bidart,FR,43.43333,-1.56667
FRBEP,Brazey-en-Plaine,Brazey-en-Plaine,FR,47.13333,5.21667
FRBES,Brest,Brest,FR,48.4,-4.48333
FRBET,Béthune,Béthune,FR,50.53333,2.63333
FRBEV,Berville-sur-Mer,Berville-sur-Mer,FR,49.43333,0.36667
FRBFT,Botans,Botans,FR,47.6,6.85
FRBG2,Saint-Bonnet-sur-Gironde,Saint-Bonnet-sur-Gironde,FR,45.35,-0.66667
FRBG6,Hiers-Brouage,Hiers-Brouage,FR,45.85,-1.06667
